residential_status,loan_rate,loan_amount,loan_purpose,loan_approval_status,job_tenure_years,credit_history_length_years,applicant_age,applicant_income,loan_rating,credit_history_default_status,loan_income_ratio,stability_rating,credit_history_length_months
Renter,9.99,5600,Study,Approved,0.0,4,25,36276,Very Good,No,0.15,C,59
Mortgage,16.77,12000,Business,Approved,5.0,2,24,64000,Fair,No,0.19,B,34
Renter,10.75,5000,Business,Declined,,4,21,12360,Very Good,No,0.4,C,54
Mortgage,7.51,13200,Personal,Approved,6.0,12,36,83625,Excellent,No,0.16,B,151
Mortgage,12.99,3500,Health,Approved,5.0,2,23,24091,Good,Yes,0.15,B,31
Owner,19.03,24250,Health,Declined,5.0,11,45,49000,Poor,Yes,0.49,A,135
Renter,7.51,8250,Health,Approved,5.0,4,23,30000,Excellent,No,0.28,C,54
Renter,10.59,4800,Health,Approved,6.0,2,24,32000,Very Good,No,0.15,C,28
Renter,12.99,4800,Study,Approved,6.0,4,22,41504,Good,No,0.12,C,53
Renter,10.28,10000,Study,Declined,0.0,3,22,27376,Good,No,0.37,C,45
Owner,15.99,15000,Business,Approved,5.0,5,35,80000,Fair,Yes,0.19,A,70
Mortgage,10.28,6000,Business,Approved,0.0,4,26,87300,Good,Yes,0.07,B,56
Renter,10.95,1750,Business,Approved,0.0,3,23,17000,Very Good,No,0.1,C,40
Mortgage,6.99,10975,Home Improvement,Approved,8.0,9,33,125000,Excellent,No,0.09,B,109
Mortgage,17.56,24000,Home Improvement,Approved,8.0,3,24,90000,Poor,No,0.27,B,46
Mortgage,9.88,5000,Study,Approved,10.0,4,26,70000,Very Good,No,0.07,B,55
Renter,6.03,5000,Debt Consolidation,Approved,8.0,3,24,36396,Excellent,No,0.14,C,43
Mortgage,,4200,Study,Approved,4.0,6,30,52000,Good,Yes,0.08,B,79
Mortgage,11.83,5000,Home Improvement,Approved,0.0,10,27,48996,Very Good,No,0.1,B,131
Renter,8.9,5000,Debt Consolidation,Approved,16.0,5,34,56000,Excellent,No,0.09,C,70
Renter,11.12,15000,Health,Approved,6.0,2,24,51000,Very Good,No,0.29,C,33
Renter,10.99,6600,Business,Approved,9.0,2,25,101877,Very Good,No,0.06,C,26
Mortgage,14.79,34000,Study,Approved,2.0,16,37,250000,Good,No,0.14,B,199
Mortgage,14.96,5000,Debt Consolidation,Declined,10.0,2,26,91000,Fair,No,0.05,B,35
Mortgage,5.99,12000,Business,Approved,5.0,2,25,80000,Excellent,No,0.15,B,29
Mortgage,6.03,12000,Home Improvement,Approved,0.0,14,45,125000,Excellent,No,0.1,B,169
Mortgage,14.96,6000,Home Improvement,Approved,5.0,16,40,50000,Fair,Yes,0.12,B,197
