residential_status,loan_rate,loan_amount,loan_purpose,job_tenure_years,credit_history_length_years,applicant_age,applicant_income,loan_rating,credit_history_default_status,loan_income_ratio,stability_rating,credit_history_length_months,loan_approval_status
Mortgage,13.43,10000.0,Business,10.0,2,26,62000,Good,Yes,0.16,B,35.0,Approved
Mortgage,16.77,6000.0,Personal,0.0,3,23,42000,Fair,No,0.14,B,,Approved
Renter,8.59,3250.0,Home Improvement,0.0,9,29,6000,Excellent,No,0.54,C,119.0,Declined
Mortgage,6.03,5000.0,Personal,8.0,4,24,72000,Excellent,No,0.07,B,53.0,Approved
Renter,12.42,10000.0,Business,2.0,7,34,26000,Very Good,No,0.38,C,88.0,Declined
Mortgage,13.43,4000.0,Study,5.0,3,25,50000,Good,Yes,0.08,B,37.0,Approved
Mortgage,13.99,9600.0,Study,11.0,12,45,118000,Good,Yes,0.08,B,153.0,Declined
Renter,13.99,6000.0,Business,5.0,9,28,32004,Good,No,0.19,C,112.0,Approved
Renter,12.21,10800.0,Study,0.0,14,37,30000,Very Good,No,0.36,C,173.0,Declined
Mortgage,7.51,22000.0,Study,12.0,7,28,115000,Excellent,No,0.19,B,85.0,Approved
Mortgage,12.73,10000.0,Study,5.0,7,29,48000,Good,Yes,0.21,B,86.0,Approved
Mortgage,10.39,25000.0,Home Improvement,1.0,8,33,100000,Very Good,No,0.25,B,107.0,Approved
Renter,14.61,5600.0,Health,9.0,4,25,40000,Fair,Yes,0.14,C,53.0,Approved
Owner,12.72,9000.0,Personal,10.0,9,29,39000,Good,Yes,0.23,A,,Approved
Renter,15.7,3350067656.2500005,Business,3.0,10,27,47000,Fair,Yes,0.53,C,127.0,Declined
Renter,12.42,5000.0,Debt Consolidation,5.0,3,24,40000,Very Good,No,0.13,C,42.0,Approved
Owner,10.62,2250.0,Business,7.0,3,22,53000,Very Good,No,0.04,A,,Approved
Renter,17.99,14400.0,Business,1.0,2,23,68000,Poor,No,0.21,C,29.0,Declined
Mortgage,11.36,20000.0,Study,3.0,4,26,102000,Very Good,No,0.2,B,58.0,Approved
Mortgage,5.99,9000.0,Personal,4.0,5,27,54216,Excellent,No,0.17,B,69.0,Approved
Mortgage,7.9,5000.0,Study,7.0,3,23,34348,Excellent,No,0.15,B,44.0,Approved
Mortgage,6.54,478581093.75000006,Health,6.0,2,22,72000,Excellent,No,0.07,B,35.0,Approved
Renter,16.45,7000.0,Business,0.0,2,25,24000,Poor,Yes,0.29,C,25.0,Declined
Mortgage,7.51,10000.0,Personal,3.0,20,55,75000,Excellent,No,0.13,B,243.0,Approved
Owner,9.91,7200.0,Home Improvement,4.0,3,25,53000,Very Good,No,0.14,A,37.0,Approved
Mortgage,9.88,3600.0,Debt Consolidation,0.0,5,34,26400,Very Good,No,0.14,B,63.0,Approved
Renter,7.75,325435143.75,Personal,24.0,17,41,24000,Excellent,No,0.08,C,205.0,Declined
Mortgage,7.14,4200.0,Health,7.0,13,36,63000,Excellent,,0.07,B,160.0,Approved
Renter,7.29,1000.0,Debt Consolidation,,13,42,22000,Excellent,No,0.05,C,,Approved
Owner,14.96,25000.0,Health,22.0,11,38,99996,Fair,No,0.25,A,143.0,Approved
Renter,14.96,964819485.0000001,Debt Consolidation,0.0,5,34,32758,Fair,No,0.26,C,,Declined
Renter,13.72,19000.0,Study,14.0,7,30,35576,Good,No,0.53,C,85.0,Declined
Mortgage,16.45,12000.0,Study,2.0,3,23,30000,Poor,,0.4,B,43.0,Approved
Renter,16.0,12000.0,Business,0.0,2,23,44004,Poor,No,0.27,C,34.0,Declined
Mortgage,6.03,15000.0,Business,11.0,6,27,83886,Excellent,No,0.18,B,78.0,Approved
Renter,17.27,13000.0,Study,8.0,4,24,36000,Fair,No,0.36,C,56.0,Declined
Owner,11.86,2550.0,Business,5.0,3,23,48000,Very Good,,0.05,A,43.0,Approved
Owner,12.53,24250.0,Health,5.0,4,24,101000,Very Good,,0.24,A,53.0,Approved
Mortgage,10.74,21000.0,Business,16.0,10,32,93000,Very Good,No,0.23,B,123.0,Approved
Owner,8.49,5000.0,Personal,12.0,9,28,30422,Excellent,No,0.16,A,119.0,Approved
Mortgage,10.99,4000.0,Study,8.0,2,23,57850,Very Good,No,0.07,B,26.0,Approved
Renter,8.94,8400.0,Study,0.0,2,22,41000,Excellent,No,0.2,C,34.0,Approved
Renter,12.21,2400.0,Health,2.0,5,31,34000,Very Good,No,0.07,C,66.0,Approved
Renter,10.65,10000.0,Health,1.0,5,29,68000,Very Good,,0.15,C,62.0,Approved
Mortgage,8.59,6000.0,Business,4.0,4,22,41000,Excellent,No,0.15,B,,Approved
Mortgage,10.99,18000.0,Personal,12.0,7,32,119000,Very Good,No,0.15,B,88.0,Approved
Mortgage,,7000.0,Health,7.0,5,29,65000,Very Good,,0.11,B,66.0,Approved
Mortgage,11.71,4400.0,Business,7.0,3,23,120000,Very Good,No,0.04,B,42.0,Approved
Mortgage,8.0,8000.0,Home Improvement,2.0,2,24,55000,Excellent,No,0.15,B,30.0,Approved
Renter,7.9,4000.0,Personal,6.0,2,22,45000,Excellent,No,0.09,C,32.0,Approved
Mortgage,,5000.0,Business,3.0,10,30,30000,Excellent,No,0.17,B,121.0,Approved
Renter,7.37,3600.0,Personal,1.0,2,22,44094,Excellent,No,0.08,C,32.0,Approved
Renter,,5375.0,Business,2.0,16,41,23400,Very Good,,0.23,C,,Approved
Renter,9.32,10000.0,Personal,3.0,16,39,85000,Excellent,No,0.12,C,195.0,Approved
Renter,7.14,6000.0,Business,7.0,5,27,26004,Excellent,,0.23,C,62.0,Approved
Renter,14.46,11500.0,Personal,5.0,6,28,25200,Fair,Yes,0.46,C,78.0,Declined
Renter,8.88,1600.0,Study,3.0,6,33,24000,Very Good,No,0.07,C,75.0,Approved
Mortgage,15.99,3600.0,Study,6.0,3,22,126000,Fair,No,0.03,B,43.0,Approved
Renter,11.83,10000.0,Study,1.0,2,24,51000,Very Good,No,0.2,C,31.0,Approved
Mortgage,5.42,12000.0,Health,10.0,3,26,66912,Excellent,No,0.18,B,43.0,Approved
Mortgage,,2000.0,Study,1.0,4,22,80000,Excellent,No,0.03,B,53.0,Approved
Owner,12.42,746586506.25,Study,5.0,3,26,21600,Very Good,No,0.24,A,40.0,Approved
Mortgage,14.65,10000.0,Business,0.0,10,33,350000,Good,Yes,0.03,B,123.0,Approved
Renter,12.23,3600.0,Debt Consolidation,0.0,7,29,40000,Good,Yes,0.09,C,85.0,Approved
Mortgage,7.49,6000.0,Debt Consolidation,2.0,3,23,45000,Excellent,No,0.13,B,39.0,Approved
Mortgage,14.96,10000.0,Business,4.0,3,22,49600,Fair,Yes,0.2,B,,Approved
Renter,12.68,3000.0,Business,2.0,3,25,49000,Good,Yes,0.06,C,39.0,Declined
Renter,7.49,10000.0,Personal,2.0,2,24,44000,Excellent,No,0.23,C,28.0,Approved
Renter,12.21,13500.0,Study,3.0,2,24,68000,Very Good,No,0.2,C,35.0,Approved
Mortgage,,5000.0,Home Improvement,8.0,3,24,39000,Good,,0.13,B,43.0,Declined
Renter,18.64,2500.0,Business,0.0,4,22,45630,Poor,Yes,0.05,C,49.0,Declined
Renter,16.29,10000.0,Personal,12.0,5,28,35000,Fair,No,0.29,C,,Approved
Renter,5.79,7000.0,Debt Consolidation,4.0,3,23,60000,Excellent,,0.12,C,41.0,Approved
Mortgage,5.79,12000.0,Health,3.0,2,25,100000,Excellent,No,0.12,B,32.0,Approved
Owner,5.99,9000.0,Health,7.0,3,23,69000,Excellent,No,0.13,A,45.0,Approved
Renter,17.27,5200.0,Business,2.0,4,21,46000,Fair,Yes,0.11,C,59.0,Declined
Mortgage,10.65,6200.0,Business,18.0,16,36,24000,Very Good,No,0.26,B,193.0,Approved
Renter,7.14,5000.0,Business,7.0,4,23,45984,Excellent,No,0.11,C,,Approved
Mortgage,14.26,16000.0,Business,7.0,3,23,39000,Good,No,0.41,B,46.0,Declined
