fnl,hpw,relation,gain,country,job,edu_int,years,loss,work_type,partner,edu,gender,race,prod,gtype,money
264627,40.0,NotM,0,United-States,Adm-clerical,10,38,0,Priv,D,SC,,White,77,DC,<=50K
151369,40.0,NotF,0,United-States,Craft-repair,9,62,0,LGov,NM,HSG,M,White,87,AC,<=50K
188615,60.0,H,0,United-States,Sales,13,42,0,SelfInc,MCS,B,M,White,77,AC,>50K
151089,55.0,H,0,United-States,Exec-managerial,10,41,2415,SelfInc,MCS,SC,M,White,107,AC,>50K
177625,40.0,NotF,0,United-States,Machine-op-inspct,9,25,0,Priv,NM,HSG,M,White,57,AC,<=50K
444089,40.0,NotF,0,United-States,Sales,7,56,0,Priv,D,11,F,White,62,DC,<=50K
101320,75.0,NotF,0,United-States,Exec-managerial,14,49,0,Priv,D,M,F,White,62,DC,<=50K
35411,40.0,NotF,0,United-States,Machine-op-inspct,9,59,0,Priv,W,HSG,F,White,82,DC,<=50K
93235,25.0,OwnC,0,United-States,Other-service,8,17,1721,Priv,NM,12,F,White,67,DC,<=50K
232855,37.0,NotM,0,United-States,Other-service,10,34,0,Priv,S,SC,F,Black,52,DC,<=50K
120238,40.0,Other,0,United-States,Sales,13,26,0,Priv,NM,B,M,White,37,AC,<=50K
218415,10.0,OwnC,0,United-States,?,10,23,0,?,NM,SC,F,White,42,DC,<=50K
30673,40.0,H,0,United-States,Machine-op-inspct,5,39,0,FGov,MCS,9,M,White,7,AC,>50K
103344,50.0,NotF,10520,United-States,Exec-managerial,13,62,0,Priv,W,B,M,White,21042,AC,>50K
195282,20.0,OwnC,0,United-States,?,9,19,0,?,NM,HSG,F,Black,57,DC,<=50K
207172,40.0,NotF,0,United-States,Exec-managerial,9,33,0,FGov,NM,HSG,F,White,22,DC,<=50K
165030,50.0,NotF,0,United-States,Exec-managerial,10,28,0,Priv,NM,SC,F,White,17,DC,<=50K
266287,25.0,OwnC,0,United-States,?,10,18,0,?,NM,SC,,White,97,DC,<=50K
188236,40.0,NotF,0,United-States,?,9,60,0,?,D,HSG,F,White,67,DC,<=50K
128348,50.0,H,9386,United-States,Exec-managerial,13,69,0,Priv,MCS,B,M,Black,18844,AC,>50K
182898,40.0,NotF,8614,United-States,Adm-clerical,9,35,0,Priv,NM,HSG,M,White,17295,AC,>50K
169878,40.0,W,0,United-States,Exec-managerial,12,40,0,SelfInc,MCS,AA,F,White,102,DC,>50K
176831,40.0,NotM,0,United-States,Prof-specialty,13,34,0,Priv,D,B,F,White,32,DC,>50K
54260,40.0,NotF,2885,China,Prof-specialty,16,56,0,SGov,MCS,D,M,Asian-Pac-Islander,5857,AC,<=50K
303032,40.0,NotM,0,United-States,Other-service,10,31,0,Priv,NM,SC,F,Black,37,DC,<=50K
87054,50.0,H,0,United-States,Craft-repair,9,30,0,Priv,MCS,HSG,M,White,7,AC,<=50K
398931,50.0,H,0,United-States,Prof-specialty,13,36,1485,Priv,MCS,B,,White,77,AC,>50K
140752,40.0,H,0,United-States,Craft-repair,9,35,0,SGov,MCS,HSG,,White,57,AC,<=50K
55658,25.0,OwnC,0,United-States,Other-service,6,18,0,LGov,NM,10,M,White,62,AC,<=50K
322238,,NotF,0,United-States,Farming-fishing,9,29,0,SelfNotInc,NM,HSG,,White,62,AC,<=50K
267859,,H,0,United-States,Protective-serv,10,33,0,LGov,MCS,SC,M,White,52,AC,<=50K
173175,50.0,H,15024,United-States,Exec-managerial,13,39,0,Priv,MCS,B,,White,30115,AC,>50K
190325,30.0,OwnC,0,United-States,Craft-repair,7,18,0,Priv,NM,11,M,White,-3,AC,<=50K
289731,40.0,H,0,United-States,Craft-repair,10,31,0,Priv,MCS,SC,M,White,32,AC,<=50K
399904,,Other,0,Mexico,Craft-repair,9,27,0,SelfInc,NM,HSG,M,White,82,AC,<=50K
150371,40.0,NotF,0,United-States,Craft-repair,9,36,0,SelfNotInc,NM,HSG,,White,77,AC,<=50K
37848,25.0,NotM,0,United-States,Other-service,9,41,0,LGov,NM,HSG,F,White,47,DC,<=50K
117779,40.0,OwnC,0,United-States,Exec-managerial,123,24,0,Priv,NM,B,M,White,62,AC,<=50K
176157,50.0,H,0,United-States,Exec-managerial,14,50,0,Priv,MCS,M,M,White,67,AC,>50K
33365,40.0,NotF,0,Canada,Other-service,9,62,0,LGov,W,HSG,F,White,47,DC,<=50K
83411,40.0,H,0,United-States,Other-service,9,41,0,FGov,MCS,HSG,,White,52,AC,<=50K
142714,38.0,NotF,0,United-States,Other-service,10,57,0,Priv,D,SC,F,White,47,DC,<=50K
295520,25.0,NotM,0,United-States,Sales,5,53,0,Priv,W,9,F,Black,52,DC,<=50K
65325,50.0,H,0,United-States,Adm-clerical,13,56,0,Priv,MCS,B,M,White,32,AC,<=50K
221661,35.0,OwnC,0,United-States,Sales,9,21,0,Priv,NM,HSG,F,White,62,DC,<=50K
73746,,H,0,United-States,Exec-managerial,10,56,0,SelfNotInc,MCS,SC,M,White,47,AC,>50K
279960,40.0,H,0,United-States,Sales,9,27,0,Priv,MCS,HSG,M,White,52,AC,<=50K
160625,40.0,H,5013,United-States,Prof-specialty,9,60,0,Priv,MCS,HSG,M,White,10073,AC,<=50K
126327,40.0,NotM,0,United-States,Adm-clerical,12,26,0,SGov,NM,AA,F,Black,62,DC,<=50K
206365,,NotF,0,United-States,Other-service,9,32,0,Priv,NM,HSG,F,Black,22,DC,<=50K
159322,50.0,H,0,United-States,Exec-managerial,13,34,0,Priv,MCS,B,M,White,42,AC,>50K
156015,,H,0,United-States,Tech-support,11,33,0,LGov,MCS,AV,M,White,92,AC,<=50K
61777,,NotF,0,United-States,Craft-repair,10,21,0,Priv,NM,SC,M,White,82,AC,<=50K
130557,40.0,NotF,0,United-States,Adm-clerical,13,25,0,Priv,NM,B,F,White,87,DC,<=50K
211013,50.0,Other,0,Mexico,Other-service,11,21,0,Priv,MCS,AV,F,White,42,DC,<=50K
477867,40.0,H,0,United-States,Exec-managerial,13,55,0,SelfNotInc,MCS,B,M,White,17,AC,>50K
268051,25.0,Other,0,Haiti,Protective-serv,10,34,0,Priv,MCS,SC,F,Black,97,DC,<=50K
188041,50.0,H,0,United-States,Exec-managerial,10,35,0,Priv,MCS,SC,M,White,57,AC,<=50K
211349,40.0,H,0,United-States,Transport-moving,6,32,0,Priv,MCS,10,M,White,47,AC,<=50K
278220,40.0,OwnC,0,United-States,?,10,19,1602,?,NM,SC,F,White,67,DC,<=50K
410439,55.0,NotF,0,United-States,Sales,9,22,0,Priv,MSA,HSG,,White,57,AC,<=50K
90935,40.0,OwnC,0,United-States,Transport-moving,11,21,0,Priv,NM,AV,M,White,12,AC,<=50K
190767,40.0,NotM,0,United-States,Tech-support,11,42,0,Priv,D,AV,F,White,7,DC,<=50K
214731,40.0,W,0,United-States,Machine-op-inspct,6,22,0,Priv,MCS,10,F,White,17,DC,<=50K
154891,52.0,NotM,0,United-States,Protective-serv,9,51,0,LGov,D,HSG,M,White,72,AC,<=50K
90159,,W,0,United-States,Prof-specialty,13,36,0,Priv,MCS,B,F,White,57,DC,>50K
95336,50.0,H,0,United-States,Sales,13,38,0,Priv,MCS,B,M,White,47,AC,>50K
240841,25.0,NotF,0,United-States,Other-service,10,39,0,Priv,NM,SC,F,White,107,DC,<=50K
140644,45.0,NotF,0,United-States,Prof-specialty,16,45,0,Priv,D,D,,White,37,AC,>50K
83893,40.0,H,0,United-States,Adm-clerical,11,37,0,Priv,MCS,AV,M,White,37,AC,<=50K
199995,50.0,H,0,United-States,Craft-repair,5,51,0,Priv,MCS,9,M,White,32,AC,>50K
100593,6.0,NotM,0,United-States,Prof-specialty,10,34,0,Priv,D,SC,F,White,7,DC,<=50K
128640,25.0,W,0,United-States,?,10,36,0,?,MCS,SC,F,White,82,DC,<=50K
161478,23.0,OwnC,0,United-States,Other-service,10,23,0,Priv,NM,SC,F,Asian-Pac-Islander,87,DC,<=50K
300275,48.0,NotF,0,United-States,Sales,9,23,0,Priv,NM,HSG,M,White,57,AC,<=50K
78859,20.0,NotM,0,United-States,Prof-specialty,14,49,323,LGov,W,M,F,White,37,DC,<=50K
175069,50.0,NotF,0,United-States,?,13,24,0,?,NM,B,M,White,32,AC,<=50K
186212,50.0,H,0,United-States,Craft-repair,12,36,0,Priv,MCS,AA,M,White,42,AC,<=50K
137951,30.0,NotM,0,United-States,Adm-clerical,9,25,0,Priv,NM,HSG,F,White,22,DC,<=50K
89391,24.0,H,0,United-States,?,15,81,0,?,MCS,PS,M,White,27,AC,>50K
26880,40.0,NotM,0,United-States,Adm-clerical,10,40,0,FGov,NM,SC,F,White,7,DC,<=50K
215479,,NotF,0,United-States,Handlers-cleaners,9,41,0,Priv,S,HSG,M,Black,42,AC,<=50K
